"listingValue","product_name","product_url","product_features_name","product_features_Values_name","remove"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Built-in Apps4","Time Machine","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Built-in Apps4","Find My","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Built-in Apps4","QuickTime Player","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","In the Box","13-inch MacBook Pro","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","In the Box","61W USB-C Power Adapter","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","In the Box","USB-C Charge Cable (2 m)","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Configure to Order","","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","MacBook Pro and the Environment","","1"
"","MacBook Pro (13-inch, M1, 2020) - Technical Specifications","https://support.apple.com/kb/SP824?viewlocale=en_US&locale=en_US","Acoustic Performance","","1"
"","MacBook Pro (13-inch, 2020, Two Thunderbolt 3 ports) - Technical Specifications","https://support.apple.com/kb/SP818?viewlocale=en_US&locale=en_US","Finish","Silver","1"
"","MacBook Pro (13-inch, 2020, Two Thunderbolt 3 ports) - Technical Specifications","https://support.apple.com/kb/SP818?viewlocale=en_US&locale=en_US","Finish","Space Gray","1"
"","MacBook Pro (13-inch, 2020, Two Thunderbolt 3 ports) - Technical Specifications","https://support.apple.com/kb/SP818?viewlocale=en_US&locale=en_US","Display","Retina display","1"
"","MacBook Pro (13-inch, 2020, Two Thunderbolt 3 ports) - Technical Specifications","https://support.apple.com/kb/SP818?viewlocale=en_US&locale=en_US","Display","13.3-inch (diagonal) LED-backlit display with IPS technology; 2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors","1"
"","MacBook Pro (13-inch, 2020, Two Thunderbolt 3 ports) - Technical Specifications","https://support.apple.com/kb/SP818?viewlocale=en_US&locale=en_US","Display","Supported scaled resolutions:
1680 by 1050
1440 by 900
1024 by 640","1"
